文件名,相关系数矩阵
nlos1-1.8m.csv,"[[0.9999999999999998, -0.24415092951419873, 0.06662112643286877], [-0.2441509295141987, 1.0, 0.08474893284085214], [0.06662112643286877, 0.08474893284085214, 1.0]]"
nlos1-2.0m.csv,"[[1.0, -0.3826430456467961, 0.4323054463930037], [-0.38264304564679613, 1.0, 0.04010442960527321], [0.4323054463930037, 0.04010442960527321, 1.0]]"
nlos1-2.2m.csv,"[[1.0, 0.8644035846474591, 0.6113021027208574], [0.864403584647459, 1.0, 0.7284195794646126], [0.6113021027208574, 0.7284195794646127, 1.0]]"
nlos1-2.4m.csv,"[[1.0, 0.35717779041259595, 0.16006148134824238], [0.357177790412596, 1.0, 0.10107015217556688], [0.16006148134824238, 0.10107015217556688, 1.0]]"
nlos1-2.6m.csv,"[[1.0, -0.2487983769290219, -0.28870470107636764], [-0.24879837692902193, 1.0, 0.5200564381295362], [-0.28870470107636764, 0.5200564381295362, 1.0]]"
nlos1-2.8m.csv,"[[0.9999999999999998, 0.04124622681145409, -0.2412419002123369], [0.04124622681145409, 0.9999999999999999, 0.3141489340189086], [-0.24124190021233693, 0.3141489340189086, 0.9999999999999998]]"
nlos1-3.0m.csv,"[[0.9999999999999999, 0.7472935399726333, 0.09790020138023386], [0.7472935399726334, 1.0, 0.1436091023450197], [0.09790020138023386, 0.14360910234501972, 1.0]]"
nlos1-3.2m.csv,"[[0.9999999999999999, 0.450595732131535, 0.12964909953885262], [0.450595732131535, 1.0, 0.14240444167436628], [0.12964909953885262, 0.14240444167436628, 1.0]]"
nlos1-3.4m.csv,"[[0.9999999999999998, 0.5819438691302852, 0.20166861213879694], [0.5819438691302852, 1.0, 0.7218808441045449], [0.20166861213879697, 0.7218808441045449, 1.0]]"
nlos1-3.6m.csv,"[[1.0, 0.027071042760209177, 0.12331930085272655], [0.027071042760209173, 1.0, 0.7570987899857571], [0.12331930085272653, 0.757098789985757, 1.0]]"
nlos1-3.8m.csv,"[[0.9999999999999999, -0.10622841396992408, 0.1643252795856995], [-0.1062284139699241, 0.9999999999999999, 0.32254026123425883], [0.1643252795856995, 0.3225402612342589, 0.9999999999999998]]"
nlos1-4.0m.csv,"[[0.9999999999999998, -0.5218400874158747, 0.04800544676861141], [-0.5218400874158747, 0.9999999999999999, -0.0017201400825478629], [0.04800544676861142, -0.0017201400825478629, 1.0]]"
nlos1-4.2m.csv,"[[1.0, 0.2205669280893974, 0.04272878450844183], [0.2205669280893974, 0.9999999999999999, -0.06799251634337193], [0.04272878450844183, -0.06799251634337193, 1.0]]"
nlos1-4.4m.csv,"[[1.0, -0.4895552252092667, -0.08450498489719863], [-0.4895552252092667, 0.9999999999999998, 0.17091531581364222], [-0.08450498489719863, 0.1709153158136422, 1.0]]"
nlos1-4.6m.csv,"[[1.0, 0.5333600750641031, 0.5256752844203587], [0.5333600750641031, 1.0, 0.7053357732773888], [0.5256752844203588, 0.7053357732773888, 1.0]]"
nlos1-4.8m.csv,"[[1.0, -0.9441714241937991, -0.450406331435927], [-0.9441714241937991, 1.0, 0.4662688992009816], [-0.450406331435927, 0.4662688992009816, 1.0]]"
nlos1-5.0m.csv,"[[1.0, -0.5534341041376879, -0.17503575056907272], [-0.5534341041376879, 1.0, 0.22520993513614448], [-0.17503575056907275, 0.22520993513614446, 1.0]]"
nlos1-5.2m.csv,"[[1.0, -0.5182825414246485, -0.05107482792688592], [-0.5182825414246485, 1.0, 0.29772029147737866], [-0.05107482792688592, 0.29772029147737866, 1.0]]"
nlos1-5.4m.csv,"[[0.9999999999999999, 0.8360087694030002, 0.5297748829429774], [0.8360087694030001, 1.0, 0.5837822595521336], [0.5297748829429774, 0.5837822595521336, 0.9999999999999998]]"
nlos1-5.6m.csv,"[[1.0, 0.03761661273982018, 0.012167525122991695], [0.03761661273982018, 1.0, 0.5382193659592535], [0.012167525122991695, 0.5382193659592535, 1.0]]"
nlos1-5.8m.csv,"[[1.0, -0.7427429286379374, -0.01766636849601619], [-0.7427429286379374, 1.0, 0.24409638525677946], [-0.01766636849601619, 0.24409638525677943, 1.0]]"
nlos1-6.0m.csv,"[[0.9999999999999998, -0.670134492223536, -0.5108707331376922], [-0.670134492223536, 0.9999999999999999, 0.7127005065140604], [-0.5108707331376922, 0.7127005065140605, 1.0]]"
nlos1-6.2m.csv,"[[1.0, -0.34943597861600867, -0.001834785817782263], [-0.34943597861600867, 0.9999999999999999, 0.1416342540963445], [-0.0018347858177822627, 0.1416342540963445, 0.9999999999999998]]"
nlos1-6.4m.csv,"[[1.0, -0.42161412975719814, -0.36777225526351837], [-0.42161412975719814, 1.0, 0.47746463309186826], [-0.36777225526351837, 0.4774646330918682, 0.9999999999999999]]"
nlos1-6.6m.csv,"[[1.0, 0.07160118567391957, -0.14183997679602975], [0.07160118567391957, 1.0, 0.16538685984273638], [-0.14183997679602975, 0.16538685984273638, 1.0]]"
nlos1-6.8m.csv,"[[1.0, 0.45256954217514034, 0.12219439027200862], [0.4525695421751403, 1.0, 0.11567118741293679], [0.12219439027200862, 0.11567118741293679, 1.0]]"
nlos1-7.0m.csv,"[[0.9999999999999998, -0.42691398115975243, 0.042233677102364836], [-0.42691398115975243, 0.9999999999999999, 0.24010440555103438], [0.042233677102364836, 0.24010440555103438, 0.9999999999999999]]"
nlos1-7.2m.csv,"[[0.9999999999999999, -0.2699392307329523, -0.09234309900992195], [-0.2699392307329523, 0.9999999999999998, 0.29014481224912075], [-0.09234309900992195, 0.29014481224912075, 1.0]]"
nlos1-7.4m.csv,"[[0.9999999999999998, 0.16778603208258633, 0.03256629155558422], [0.16778603208258633, 0.9999999999999998, 0.1304308410301724], [0.03256629155558422, 0.13043084103017238, 0.9999999999999998]]"
nlos1-7.6m.csv,"[[0.9999999999999998, 0.7531897418039464, 0.28530335408625884], [0.7531897418039463, 1.0, 0.4121788505152568], [0.2853033540862589, 0.41217885051525677, 0.9999999999999998]]"
nlos1-7.8m.csv,"[[1.0, 0.47818934748168707, 0.3820370993064223], [0.4781893474816872, 0.9999999999999998, 0.3324430828830115], [0.3820370993064224, 0.33244308288301155, 1.0]]"
nlos2-0.8m.csv,"[[1.0, 0.3617662046599514, 0.2251497371038611], [0.3617662046599514, 1.0, 0.7180364429969776], [0.22514973710386113, 0.7180364429969776, 1.0]]"
nlos2-1.0m.csv,"[[1.0, 0.46934830275586975, 0.11259976872116327], [0.46934830275586975, 1.0, 0.7270311359566239], [0.11259976872116327, 0.727031135956624, 1.0]]"
nlos2-1.2m.csv,"[[0.9999999999999998, 0.2699688058457486, -0.1563210325690257], [0.2699688058457486, 1.0, 0.3430606353924696], [-0.1563210325690257, 0.34306063539246956, 0.9999999999999999]]"
nlos2-1.4m.csv,"[[0.9999999999999998, 0.42175504204655045, 0.2694985684154439], [0.42175504204655045, 1.0, 0.5936468687803972], [0.26949856841544384, 0.5936468687803971, 1.0]]"
nlos2-1.6m.csv,"[[0.9999999999999999, 0.5572627814532571, 0.10509892915476227], [0.557262781453257, 1.0, 0.496818833579658], [0.10509892915476227, 0.496818833579658, 1.0]]"
nlos2-1.8m.csv,"[[0.9999999999999999, 0.5415385735004891, -0.31145721316424374], [0.5415385735004891, 1.0, -0.03388494596153697], [-0.31145721316424374, -0.03388494596153697, 1.0]]"
nlos2-2.0m.csv,"[[1.0, -0.1691321638784399, -0.2058517742339363], [-0.1691321638784399, 1.0, 0.3048344031841718], [-0.2058517742339363, 0.3048344031841718, 0.9999999999999999]]"
nlos2-2.2m.csv,"[[1.0, 0.39165201952157197, -0.10082855600316945], [0.39165201952157197, 1.0, 0.5955676763084157], [-0.10082855600316945, 0.5955676763084156, 1.0]]"
nlos2-2.4m.csv,"[[1.0, 0.2827176784621264, -0.18471066182423188], [0.2827176784621264, 1.0, 0.12045709853658684], [-0.18471066182423185, 0.12045709853658684, 0.9999999999999999]]"
nlos2-2.6m.csv,"[[0.9999999999999999, 0.1724519617078145, 0.21153020138621684], [0.1724519617078145, 1.0, 0.21396134411231635], [0.2115302013862168, 0.21396134411231635, 1.0]]"
nlos2-2.8m.csv,"[[1.0, 0.2366516374884019, -0.0758738420598258], [0.2366516374884019, 1.0, 0.05793799606496751], [-0.07587384205982581, 0.05793799606496751, 0.9999999999999999]]"
nlos2-3.0m.csv,"[[0.9999999999999999, 0.6143005135491609, 0.13400847841541919], [0.6143005135491609, 1.0, 0.35884820068763196], [0.1340084784154192, 0.35884820068763196, 0.9999999999999998]]"
nlos2-3.2m.csv,"[[1.0, -0.017472459735152903, 0.03719444584448787], [-0.017472459735152903, 1.0, 0.009445133810093896], [0.037194445844487875, 0.009445133810093898, 1.0]]"
nlos2-3.4m.csv,"[[1.0, 0.38508746234551455, -0.14629189409148038], [0.3850874623455145, 1.0, 0.13514387320329868], [-0.1462918940914804, 0.1351438732032987, 1.0]]"
nlos2-3.6m.csv,"[[1.0, 0.5078679023337407, 0.019693491152994895], [0.5078679023337407, 0.9999999999999998, 0.10365653607941566], [0.019693491152994895, 0.10365653607941568, 0.9999999999999999]]"
nlos2-3.8m.csv,"[[1.0, 0.1360069943364211, 0.09667080502295516], [0.1360069943364211, 1.0, 0.3493427349536537], [0.09667080502295518, 0.3493427349536537, 1.0]]"
nlos2-4.0m.csv,"[[1.0, 0.589936115276138, 0.011394188907986071], [0.5899361152761379, 1.0, 0.377633695458978], [0.01139418890798607, 0.377633695458978, 1.0]]"
nlos2-4.2m.csv,"[[1.0, 0.5152656729426491, 0.19737539543421928], [0.5152656729426491, 0.9999999999999998, 0.4295276556628388], [0.19737539543421928, 0.42952765566283885, 1.0]]"
nlos2-4.4m.csv,"[[1.0, 0.1857266904297648, -0.12288333995933527], [0.18572669042976478, 1.0, -0.01743293710025221], [-0.12288333995933527, -0.017432937100252212, 1.0]]"
nlos2-4.6m.csv,"[[1.0, 0.4367318697257363, -0.14763701111343153], [0.43673186972573624, 1.0, 0.012614924989495511], [-0.1476370111134315, 0.012614924989495511, 0.9999999999999999]]"
nlos2-4.8m.csv,"[[1.0, 0.6184512257404765, 0.041525126961419544], [0.6184512257404765, 1.0, 0.23855222544656857], [0.041525126961419544, 0.23855222544656854, 1.0]]"
nlos2-5.0m.csv,"[[1.0, 0.1568509681809525, 0.3017179763396221], [0.1568509681809525, 1.0, 0.3125307450420964], [0.30171797633962205, 0.3125307450420964, 0.9999999999999998]]"
nlos2-5.2m.csv,"[[0.9999999999999998, 0.4142815274405087, 0.2293608143628206], [0.4142815274405087, 0.9999999999999999, 0.13432638722812942], [0.2293608143628206, 0.1343263872281294, 1.0]]"
nlos2-5.4m.csv,"[[1.0, 0.06642038460716686, 0.3334942111949028], [0.06642038460716686, 1.0, 0.02416576571155445], [0.3334942111949028, 0.02416576571155445, 1.0]]"
nlos2-5.6m.csv,"[[1.0, 0.053652607285551344, 0.033331798187010105], [0.053652607285551344, 1.0, 0.09220381083696474], [0.033331798187010105, 0.09220381083696476, 0.9999999999999999]]"
nlos2-5.8m.csv,"[[1.0, 0.1867995872948469, 0.5180736004739416], [0.18679958729484694, 0.9999999999999999, 0.1722549015346232], [0.5180736004739417, 0.17225490153462317, 1.0]]"
nlos2-6.0m.csv,"[[1.0, 0.4844829470575692, 0.3252650597664094], [0.4844829470575692, 1.0, 0.06873519624563824], [0.32526505976640946, 0.06873519624563824, 1.0]]"
nlos2-6.2m.csv,"[[1.0, -0.1237963835777075, -0.1945558971097511], [-0.12379638357770752, 0.9999999999999999, 0.05609190066567668], [-0.19455589710975113, 0.05609190066567668, 0.9999999999999998]]"
nlos2-6.4m.csv,"[[0.9999999999999998, 0.4495035045503372, 0.20206467646011395], [0.4495035045503372, 0.9999999999999998, -0.022007004265518906], [0.20206467646011395, -0.022007004265518906, 0.9999999999999998]]"
nlos2-6.6m.csv,"[[0.9999999999999999, 0.26106179673801255, 0.35886104737870494], [0.26106179673801255, 1.0, 0.09025653415074165], [0.3588610473787049, 0.09025653415074165, 1.0]]"
nlos2-6.8m.csv,"[[1.0, -0.38002728018170057, 0.11062520254988885], [-0.3800272801817005, 1.0, -0.21371462250148449], [0.11062520254988885, -0.21371462250148449, 1.0]]"
nlos2-7.0m.csv,"[[1.0, 0.30539048447356687, 0.24681360155035273], [0.30539048447356687, 1.0, -0.12197534799657567], [0.24681360155035273, -0.12197534799657567, 0.9999999999999998]]"
nlos2-7.2m.csv,"[[0.9999999999999998, 0.1929297206263941, 0.25086131590223815], [0.1929297206263941, 1.0, -0.2633386983561934], [0.25086131590223815, -0.2633386983561934, 1.0]]"
nlos2-7.4m.csv,"[[1.0, 0.17135504109082508, 0.1576312891932831], [0.1713550410908251, 1.0, -0.08197778005435358], [0.1576312891932831, -0.08197778005435358, 1.0]]"
nlos2-7.6m.csv,"[[1.0, 0.30874219085782084, 0.2489307002048445], [0.30874219085782084, 0.9999999999999999, -0.03774299886742156], [0.2489307002048445, -0.03774299886742155, 1.0]]"
nlos2-7.8m.csv,"[[0.9999999999999999, 0.11391678806145628, 0.2722519562251494], [0.11391678806145628, 1.0, 0.29593234427873055], [0.2722519562251494, 0.29593234427873055, 1.0]]"
nlos3-0.8m.csv,"[[1.0, 0.3640942276277348, 0.44692876315165414], [0.3640942276277348, 1.0, 0.7693469260509683], [0.4469287631516541, 0.7693469260509682, 0.9999999999999999]]"
nlos3-1.0m.csv,"[[1.0, 0.2383872040675095, 0.21034652675199259], [0.23838720406750952, 1.0, 0.6503128952784375], [0.21034652675199256, 0.6503128952784376, 1.0]]"
nlos3-1.2m.csv,"[[1.0, 0.3501092784296213, 0.03439802134638269], [0.3501092784296213, 0.9999999999999998, 0.5973082698335462], [0.03439802134638269, 0.5973082698335461, 1.0]]"
nlos3-1.4m.csv,"[[1.0, 0.3406834065117925, -0.1449675296763612], [0.3406834065117926, 1.0, 0.3903878358299813], [-0.1449675296763612, 0.3903878358299813, 1.0]]"
nlos3-1.6m.csv,"[[0.9999999999999998, 0.41313420798600137, 0.08805325867132033], [0.4131342079860014, 1.0, 0.598872702102367], [0.08805325867132033, 0.598872702102367, 1.0]]"
nlos3-1.8m.csv,"[[1.0, 0.5806861887626996, -0.26264972607771214], [0.5806861887626996, 1.0, 0.28537123447406376], [-0.2626497260777121, 0.28537123447406376, 1.0]]"
nlos3-2.0m.csv,"[[1.0, 0.1988764857807408, -0.048701580999099006], [0.19887648578074082, 1.0, 0.6326996766730063], [-0.048701580999099, 0.6326996766730063, 1.0]]"
nlos3-2.2m.csv,"[[0.9999999999999998, 0.32851206151206724, -0.07787669398783441], [0.3285120615120673, 1.0, 0.3721979861957147], [-0.07787669398783442, 0.37219798619571465, 1.0]]"
nlos3-2.4m.csv,"[[1.0, 0.6260494210569136, 0.229627067100446], [0.6260494210569136, 1.0, 0.5572071899971077], [0.229627067100446, 0.5572071899971076, 1.0]]"
nlos3-2.6m.csv,"[[1.0, 0.46585176868470557, 0.09757588025679488], [0.4658517686847055, 0.9999999999999998, 0.4171402678268287], [0.09757588025679488, 0.4171402678268287, 1.0]]"
nlos3-2.8m.csv,"[[0.9999999999999998, 0.408441211721052, 0.2704506193953761], [0.4084412117210521, 1.0, 0.4375580026460431], [0.2704506193953761, 0.43755800264604316, 1.0]]"
nlos3-3.0m.csv,"[[1.0, 0.45224498138128827, 0.186818168611275], [0.45224498138128827, 1.0, 0.22071210646836265], [0.186818168611275, 0.22071210646836265, 0.9999999999999998]]"
nlos3-3.2m.csv,"[[0.9999999999999999, 0.2610518330315534, -0.026217120380097637], [0.2610518330315534, 1.0, 0.18451752384554862], [-0.026217120380097637, 0.1845175238455486, 1.0]]"
nlos3-3.4m.csv,"[[1.0, 0.40984285899487094, 0.0577208412470716], [0.40984285899487094, 1.0, 0.2679478261263282], [0.0577208412470716, 0.2679478261263282, 1.0]]"
nlos3-3.6m.csv,"[[0.9999999999999998, 0.2700445461220829, 0.2664933270064069], [0.2700445461220829, 1.0, 0.33149332899886874], [0.2664933270064069, 0.33149332899886874, 1.0]]"
nlos3-3.8m.csv,"[[1.0, 0.35109773925713894, 0.20929580948338156], [0.35109773925713894, 1.0, 0.183751811042518], [0.20929580948338156, 0.183751811042518, 1.0]]"
nlos3-4.0m.csv,"[[1.0, 0.6508129004100934, -0.015354688296790629], [0.6508129004100933, 1.0, 0.3551404985645732], [-0.015354688296790627, 0.35514049856457325, 1.0]]"
nlos3-4.2m.csv,"[[1.0, 0.7077709516503504, 0.19065645396288058], [0.7077709516503504, 1.0, 0.3935610469880274], [0.19065645396288058, 0.3935610469880274, 1.0]]"
nlos3-4.4m.csv,"[[1.0, 0.29218276590586967, -0.16777298128096763], [0.29218276590586967, 1.0, -0.029906476860398056], [-0.16777298128096763, -0.02990647686039806, 1.0]]"
nlos3-4.6m.csv,"[[0.9999999999999998, 0.4363987311490087, -0.1442345542962524], [0.4363987311490087, 1.0, 0.19446111706564972], [-0.14423455429625243, 0.19446111706564975, 1.0]]"
nlos3-4.8m.csv,"[[1.0, 0.41573323976835375, 0.15004937785858585], [0.4157332397683538, 1.0, 0.32413851583233205], [0.15004937785858585, 0.32413851583233205, 1.0]]"
nlos3-5.0m.csv,"[[1.0, 0.0903207483467213, 0.037329297030696436], [0.0903207483467213, 0.9999999999999998, 0.12657097602318498], [0.03732929703069644, 0.12657097602318498, 1.0]]"
nlos3-5.2m.csv,"[[1.0, 0.6382925623090965, 0.02726125185287268], [0.6382925623090965, 1.0, 0.06824343153543372], [0.027261251852872675, 0.06824343153543372, 1.0]]"
nlos3-5.4m.csv,"[[1.0, 0.332326761388942, 0.3892873154042661], [0.33232676138894196, 1.0, 0.1274924181227543], [0.38928731540426614, 0.1274924181227543, 1.0]]"
nlos3-5.6m.csv,"[[0.9999999999999999, 0.309487687707554, 0.19777505726145272], [0.309487687707554, 0.9999999999999998, 0.0659490765354974], [0.19777505726145272, 0.06594907653549739, 1.0]]"
nlos3-5.8m.csv,"[[1.0, 0.6015801961070405, 0.49629342310647856], [0.6015801961070405, 0.9999999999999998, 0.1494848259841321], [0.49629342310647856, 0.1494848259841321, 0.9999999999999999]]"
nlos3-6.0m.csv,"[[1.0, 0.654329996850459, 0.35075486817649965], [0.6543299968504589, 0.9999999999999998, 0.27759879674542964], [0.3507548681764997, 0.27759879674542964, 1.0]]"
nlos3-6.2m.csv,"[[1.0, -0.0236872625696859, -0.01178841463344878], [-0.0236872625696859, 0.9999999999999998, 0.036344305432947685], [-0.01178841463344878, 0.036344305432947685, 1.0]]"
nlos3-6.4m.csv,"[[1.0, 0.3719717508247511, 0.3335346639466273], [0.37197175082475115, 1.0, -0.08848110413014451], [0.3335346639466273, -0.08848110413014451, 1.0]]"
nlos3-6.6m.csv,"[[1.0, 0.21805097645393912, -0.013104125392121139], [0.21805097645393912, 1.0, -0.09342498668070276], [-0.013104125392121139, -0.09342498668070276, 1.0]]"
nlos3-6.8m.csv,"[[0.9999999999999999, 0.024922429115066678, 0.19889691796040687], [0.024922429115066674, 1.0, 0.14381815533198417], [0.19889691796040687, 0.14381815533198417, 1.0]]"
nlos3-7.0m.csv,"[[1.0, 0.39038931893414336, 0.1505089140707275], [0.39038931893414336, 1.0, -0.16721117581006284], [0.1505089140707275, -0.16721117581006284, 1.0]]"
nlos3-7.2m.csv,"[[1.0, 0.21180195451536354, 0.4129851718821204], [0.21180195451536354, 1.0, -0.2300400285805549], [0.41298517188212036, -0.2300400285805549, 1.0]]"
nlos3-7.4m.csv,"[[0.9999999999999999, -0.061003052041215027, 0.2564519805770017], [-0.06100305204121503, 1.0, 0.06075540942356251], [0.2564519805770017, 0.06075540942356251, 1.0]]"
nlos3-7.6m.csv,"[[1.0, 0.24390690392406345, 0.32928795758829976], [0.24390690392406347, 1.0, 0.24872708875213015], [0.32928795758829976, 0.2487270887521301, 1.0]]"
nlos3-7.8m.csv,"[[1.0, 0.21305293162752778, 0.28631567018017046], [0.21305293162752778, 0.9999999999999998, 0.18402455777370438], [0.28631567018017046, 0.18402455777370438, 1.0]]"
